sofifa_id,short_name,overall,value_eur,age,,,,,,,,,,,,,,
158023,L. Messi,93,78000000,34,,,,,,,,,,,,,,
188545,R. Lewandowski,92,119500000,32,,,,,,,,,,,,,,
20801,Cristiano Ronaldo,91,45000000,36,,,,,,,,,,,,,,
190871,Neymar Jr,91,129000000,29,,,,,,,,,,,,,,
192985,K. De Bruyne,91,125500000,30,,,,,,,,,,,,,,
200389,J. Oblak,91,112000000,28,,,,,,,,,,,,,,
231747,K. MbappÃ©,91,194000000,22,,,,,,,,,,,,,,
167495,M. Neuer,90,13500000,35,,,,,,,,,,,,,,
192448,M. ter Stegen,90,99000000,29,,,,,,,,,,,,,,
202126,H. Kane,90,129500000,27,,,,,,,,,,,,,,
215914,N. KantÃ©,90,100000000,30,,,,,,,,,,,,,,
165153,K. Benzema,89,66000000,33,,,,,,,,,,,,,,
192119,T. Courtois,89,85500000,29,,,,,,,,,,,,,,
200104,H. Son,89,104000000,28,,,,,,,,,,,,,,
200145,Casemiro,89,88000000,29,,,,,,,,,,,,,,
203376,V. van Dijk,89,86000000,29,,,,,,,,,,,,,,
208722,S. ManÃ©,89,101000000,29,,,,,,,,,,,,,,
209331,M. Salah,89,101000000,29,,,,,,,,,,,,,,
210257,Ederson,89,94000000,27,,,,,,,,,,,,,,
212622,J. Kimmich,89,108000000,26,,,,,,,,,,,,,,
212831,Alisson,89,82000000,28,,,,,,,,,,,,,,
230621,G. Donnarumma,89,119500000,22,,,,,,,,,,,,,,
155862,Sergio Ramos,88,24000000,35,,,,,,,,,,,,,,
176580,L. SuÃ¡rez,88,44500000,34,,,,,,,,,,,,,,
182521,T. Kroos,88,75000000,31,,,,,,,,,,,,,,
192505,R. Lukaku,88,93500000,28,,,,,,,,,,,,,,
193041,K. Navas,88,15500000,34,,,,,,,,,,,,,,
202652,R. Sterling,88,107500000,26,,,,,,,,,,,,,,
212198,Bruno Fernandes,88,107500000,26,,,,,,,,,,,,,,
239085,E. Haaland,88,137500000,20,,,,,,,,,,,,,,
153079,S. AgÃ¼ero,87,51000000,33,,,,,,,,,,,,,,
167948,H. Lloris,87,13500000,34,,,,,,,,,,,,,,
177003,L. ModriÄ‡,87,32000000,35,,,,,,,,,,,,,,
