Country,Count,Overall
Afghanistan,1,64.0
Albania,46,66.9
Algeria,51,70.6
Andorra,1,64.0
Angola,17,67.4
Antigua and Barbuda,3,65.3
Argentina,960,68.7
Armenia,7,68.7
Australia,266,61.4
Austria,319,65.8
Azerbaijan,8,62.9
Barbados,1,62.0
Belarus,4,63.8
Belgium,321,67.1
Belize,1,63.0
Benin,10,67.6
Bermuda,1,70.0
Bhutan,1,63.0
Bolivia,150,62.8
Bosnia and Herzegovina,71,68.5
Brazil,897,70.9
Bulgaria,24,63.1
Burkina Faso,16,66.8
Burundi,9,62.9
Cameroon,65,68.2
Canada,76,64.1
Central African Republic,2,72.5
Chad,2,67.5
Chile,165,65.0
China,387,58.3
Colombia,322,67.0
Comoros,8,66.1
Congo,16,65.7
Costa Rica,23,68.7
Côte d'Ivoire,111,67.4
Croatia,154,69.1
Cuba,3,69.0
Cyprus,19,61.5
Czechia,104,70.7
Dem. Rep. Congo,53,68.7
Denmark,307,65.0
Dominican Republic,4,65.0
Ecuador,178,64.3
Egypt,12,72.3
El Salvador,4,65.0
England,1719,63.9
Equatorial Guinea,5,69.0
Eritrea,1,67.0
Estonia,1,60.0
Ethiopia,1,64.0
Faroe Islands,3,63.0
Fiji,1,72.0
Finland,64,64.6
France,980,67.5
Gabon,12,71.2
Gambia,26,66.3
Georgia,25,67.3
Germany,1214,65.6
Ghana,128,66.6
Gibraltar,1,62.0
Greece,98,68.8
Grenada,6,63.0
Guam,1,65.0
Guatemala,2,61.5
Guinea,33,66.6
Guinea-Bissau,22,66.0
Guyana,7,57.7
Haiti,10,64.1
Honduras,11,68.1
Hungary,49,67.1
Iceland,58,64.8
India,223,53.7
Indonesia,1,51.0
Iran,21,69.4
Iraq,4,66.5
Ireland,374,60.2
Israel,22,68.2
Italy,338,70.0
Jamaica,36,67.7
Japan,546,64.4
Jordan,3,64.3
Kazakhstan,3,67.7
Kenya,8,65.5
Kosovo,46,65.6
Kyrgyzstan,1,65.0
Latvia,7,60.7
Lebanon,2,63.0
Liberia,5,65.0
Libya,3,73.3
Lithuania,9,63.6
Luxembourg,15,65.9
Madagascar,8,69.0
Malawi,2,62.5
Malaysia,2,59.0
Mali,57,68.3
Malta,2,63.5
Mauritania,3,64.3
Mauritius,1,67.0
Mexico,352,66.1
Moldova,8,67.3
Montenegro,23,69.3
Montserrat,5,61.2
Morocco,101,69.5
Mozambique,4,73.0
Namibia,3,69.7
Netherlands,439,67.5
New Zealand,37,64.0
Niger,3,60.0
Nigeria,125,67.9
North Korea,1,64.0
North Macedonia,28,66.9
Northern Ireland,78,63.1
Norway,379,63.3
Palestine,2,61.5
Panama,17,67.1
Papua New Guinea,1,65.0
Paraguay,197,66.1
Peru,156,64.7
Philippines,6,66.3
Poland,403,63.1
Portugal,373,69.7
Puerto Rico,2,61.0
Romania,338,62.9
Russia,93,69.0
Saint Kitts and Nevis,5,62.8
Saint Lucia,1,64.0
Saudi Arabia,355,59.6
Scotland,293,64.3
Senegal,127,68.3
Serbia,123,69.1
Sierra Leone,10,65.9
Slovakia,60,69.0
Slovenia,52,68.9
South Africa,63,66.2
South Korea,325,62.8
South Sudan,5,52.8
Spain,1086,69.6
Sudan,3,62.3
Suriname,11,70.3
Sweden,385,63.4
Switzerland,192,65.9
Syria,2,72.0
Taiwan,2,66.5
Tanzania,1,74.0
Thailand,6,63.0
Togo,11,68.7
Trinidad and Tobago,8,64.1
Tunisia,30,66.8
Turkey,291,66.4
Uganda,7,64.6
Ukraine,69,70.5
United Arab Emirates,19,63.2
United States of America,413,63.2
Uruguay,280,67.3
Uzbekistan,6,68.2
Venezuela,212,63.4
Vietnam,1,64.0
Wales,137,63.4
Zambia,9,68.2
Zimbabwe,13,67.5
