Random,sofifa_id,short_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined,club_contract_valid_until,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk,player_face_url,club_logo_url,club_flag_url,nation_logo_url,nation_flag_url,PDF
0.371491414,202660,R. SjÃ¶stedt,CB,62,62,325000,850,29,28/02/1992,184,75,1439,Kalmar FF,Swedish Allsvenskan,1,CB,6,,1/01/2021,2023,46,Sweden,,,,Right,2,2,1,71,37,55,56,59,72,53,26,48,60,39,53,45,34,53,56,69,73,66,61,59,55,66,73,69,47,78,65,36,55,27,52,62,57,58,7,15,9,9,6,,49+2,49+2,49+2,53,51,51,51,53,53+2,53+2,53+2,55+2,56+2,56+2,56+2,55+2,61+1,61+1,61+1,61+1,61+1,61+1,62,62,62,61+1,15+2,https://cdn.sofifa.net/players/202/660/22_120.png,https://cdn.sofifa.net/teams/1439/60.png,https://cdn.sofifa.net/flags/se.png,,https://cdn.sofifa.net/flags/se.png,0
0.994495837,220139,S. Szmodics,CAM,68,72,1700000,6000,25,24/09/1995,167,64,1938,Peterborough United,English League Championship,2,AM,7,,8/09/2020,2024,25,Ireland,,,,Right,4,3,1,80,65,62,70,47,67,52,66,36,66,62,67,57,62,63,68,83,77,90,65,90,65,73,86,59,66,62,45,67,67,62,63,48,52,40,13,9,15,11,14,,64+2,64+2,64+2,68,67,67,67,68,68+2,68+2,68+2,68+2,66+2,66+2,66+2,68+2,60+2,59+2,59+2,59+2,60+2,58+2,52+2,52+2,52+2,58+2,18+2,https://cdn.sofifa.net/players/220/139/22_120.png,https://cdn.sofifa.net/teams/1938/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/ie.png,4
0.925150413,241032,S. Diarra,"CM, CDM, RM",69,72,1800000,5000,26,30/01/1995,173,68,62,En Avant de Guingamp,French Ligue 2,2,CDM,18,,15/07/2021,2023,126,Mali,,,,Right,3,3,1,66,56,65,72,65,72,58,55,48,72,40,72,56,39,69,71,66,66,77,68,82,60,84,83,64,59,74,67,62,65,44,66,69,66,65,10,9,12,11,14,,62+2,62+2,62+2,66,66,66,66,66,67+2,67+2,67+2,68+2,69+2,69+2,69+2,68+2,68+2,69+2,69+2,69+2,68+2,67+2,66+2,66+2,66+2,67+2,17+2,https://cdn.sofifa.net/players/241/032/22_120.png,https://cdn.sofifa.net/teams/62/60.png,https://cdn.sofifa.net/flags/fr.png,,https://cdn.sofifa.net/flags/ml.png,3
0.689116267,247140,J. Benson,"CM, CDM",64,76,1400000,7000,21,5/12/1999,178,76,1932,Barnsley,English League Championship,2,MID,10,,29/07/2021,2025,14,England,,,,Right,3,2,1,61,57,64,65,60,64,61,54,48,68,52,63,64,62,63,66,69,54,74,60,75,64,67,71,62,59,61,61,54,62,52,63,59,65,55,10,12,5,5,13,,59+2,59+2,59+2,62,61,61,61,62,63+2,63+2,63+2,62+2,64+2,64+2,64+2,62+2,63+2,63+2,63+2,63+2,63+2,61+2,60+2,60+2,60+2,61+2,15+2,https://cdn.sofifa.net/players/247/140/22_120.png,https://cdn.sofifa.net/teams/1932/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/gb-eng.png,12
0.133818613,201038,M. ÄuriÄin,"ST, RM",67,67,1000000,8000,28,12/12/1992,183,78,256,FK Austria Wien,Austrian Football Bundesliga,1,ST,92,,2/02/2021,2024,4,Austria,,,,Right,2,3,1,82,67,55,68,26,65,43,68,60,59,65,66,63,57,54,68,85,79,80,63,75,68,83,63,71,64,46,31,68,60,70,67,24,16,22,9,11,8,13,6,,67,67,67,66,67,67,67,66,65+2,65+2,65+2,64+2,58+2,58+2,58+2,64+2,48+2,46+2,46+2,46+2,48+2,46+2,42+2,42+2,42+2,46+2,16+2,https://cdn.sofifa.net/players/201/038/22_120.png,https://cdn.sofifa.net/teams/256/60.png,https://cdn.sofifa.net/flags/at.png,,https://cdn.sofifa.net/flags/at.png,0
0.00662275,247467,G. Avila,"CB, LB",66,80,1900000,2000,19,30/09/2001,182,75,110580,Rosario Central,Argentina Primera DivisiÃ³n,1,CB,22,,1/01/2019,2024,52,Argentina,,,,Left,3,2,1,69,28,39,48,67,70,30,21,66,52,28,38,30,34,36,54,65,72,53,59,63,41,72,69,71,26,66,65,31,31,43,62,67,68,65,14,11,10,9,6,,45+2,45+2,45+2,43,43,43,43,43,43+2,43+2,43+2,46+2,47+2,47+2,47+2,46+2,58+2,58+2,58+2,58+2,58+2,61+2,66+2,66+2,66+2,61+2,15+2,https://cdn.sofifa.net/players/247/467/22_120.png,https://cdn.sofifa.net/teams/110580/60.png,https://cdn.sofifa.net/flags/ar.png,,https://cdn.sofifa.net/flags/ar.png,14
0.79002349,211272,C. CorvalÃ¡n,"LWB, CB, LB",70,70,1100000,7000,32,23/03/1989,179,78,111716,UniÃ³n de Santa Fe,Argentina Primera DivisiÃ³n,1,CB,3,,23/07/2018,2022,52,Argentina,,,,Left,3,2,1,65,49,62,64,68,76,64,35,58,68,49,62,50,39,63,64,62,68,64,72,74,73,70,72,77,52,82,75,57,56,53,54,63,70,71,7,12,9,14,11,,59+2,59+2,59+2,60,60,60,60,60,61+2,61+2,61+2,62+2,64+2,64+2,64+2,62+2,68+2,69+1,69+1,69+1,68+2,68+2,70,70,70,68+2,18+2,https://cdn.sofifa.net/players/211/272/22_120.png,https://cdn.sofifa.net/teams/111716/60.png,https://cdn.sofifa.net/flags/ar.png,,https://cdn.sofifa.net/flags/ar.png,0
0.282335183,208418,Y. Carrasco,"LM, ST",84,84,45000000,81000,27,4/09/1993,185,73,240,AtlÃ©tico de Madrid,Spain Primera Division,1,MID,21,,8/09/2020,2024,7,Belgium,1325,SUB,11,Right,4,4,3,88,81,78,85,45,67,81,81,53,79,70,88,81,79,73,85,89,88,87,80,73,85,71,80,61,82,65,43,80,77,81,79,44,47,35,9,11,9,10,10,,79+3,79+3,79+3,83,82,82,82,83,82+2,82+2,82+2,82+2,76+3,76+3,76+3,82+2,67+3,63+3,63+3,63+3,67+3,63+3,54+3,54+3,54+3,63+3,18+3,https://cdn.sofifa.net/players/208/418/22_120.png,https://cdn.sofifa.net/teams/240/60.png,https://cdn.sofifa.net/flags/es.png,https://cdn.sofifa.net/teams/1325/60.png,https://cdn.sofifa.net/flags/be.png,0
0.099375705,191980,Yun Suk Young,"CB, LB, LM",62,62,275000,2000,31,13/02/1990,182,74,112115,Gangwon FC,Korean K League 1,1,CDM,7,,6/01/2021,2022,167,South Korea,,,,Left,3,2,1,68,52,57,62,60,71,61,47,60,58,56,59,55,59,52,63,70,67,71,64,64,58,68,75,71,53,67,63,63,56,54,66,63,57,56,8,16,12,8,14,,59+2,59+2,59+2,60,60,60,60,60,59+2,59+2,59+2,61+1,59+2,59+2,59+2,61+1,63-1,61+1,61+1,61+1,63-1,62,62,62,62,62,17+2,https://cdn.sofifa.net/players/191/980/22_120.png,https://cdn.sofifa.net/teams/112115/60.png,https://cdn.sofifa.net/flags/kr.png,,https://cdn.sofifa.net/flags/kr.png,0
0.444044083,221938,J. Lindseth,"CM, RM",63,67,675000,1000,25,25/02/1996,182,71,112199,Sarpsborg 08 FF,Norwegian Eliteserien,1,MID,11,,8/01/2019,2022,36,Norway,,,,Right,3,3,1,71,56,60,68,58,67,57,56,49,64,51,69,58,45,59,68,68,74,72,60,68,58,58,80,62,56,64,60,58,61,52,59,59,61,55,12,7,13,10,10,,60+2,60+2,60+2,64,63,63,63,64,64+2,64+2,64+2,65+2,63+2,63+2,63+2,65+2,64+2,63+2,63+2,63+2,64+2,62+2,60+2,60+2,60+2,62+2,15+2,https://cdn.sofifa.net/players/221/938/22_120.png,https://cdn.sofifa.net/teams/112199/60.png,https://cdn.sofifa.net/flags/no.png,,https://cdn.sofifa.net/flags/no.png,4
